elapsed_s	timestamp_ms	rss	cpu_percent
2.0	1787621536554	21544960	0.2
4.0	1787621538554	21757952	0.0
6.0	1787621540553	21757952	0.0
8.0	1787621542551	21757952	0.0
10.0	1787621544553	21757952	0.0
12.0	1787621546551	21757952	0.0
14.0	1787621548554	21757952	0.0
16.0	1787621550549	21757952	0.0
18.0	1787621552553	21757952	0.0
20.0	1787621554554	21757952	0.0
22.0	1787621556550	21757952	0.0
24.0	1787621558553	21757952	0.0
26.0	1787621560549	21757952	0.0
28.0	1787621562554	21757952	0.0
30.0	1787621564552	21757952	0.0
32.0	1787621566563	21757952	0.0
34.0	1787621568554	21757952	0.0
36.0	1787621570552	21757952	0.0
38.0	1787621572552	21757952	0.0
40.0	1787621574552	21757952	0.0
42.0	1787621576553	21757952	0.0
44.0	1787621578553	21757952	0.0
46.0	1787621580550	21757952	0.0
48.0	1787621582551	21757952	0.0
50.0	1787621584552	21757952	0.0
52.0	1787621586552	21757952	0.0
54.0	1787621588553	21757952	0.0
56.0	1787621590553	21757952	0.0
58.0	1787621592553	21757952	0.0
60.0	1787621594551	21757952	0.0
62.0	1787621596553	21757952	0.0
64.0	1787621598549	27066368	0.3
66.0	1787621600548	27066368	0.0
68.0	1787621602552	27066368	0.0
2.0	1787621624534	21479424	0.2
4.0	1787621626532	21741568	0.0
6.0	1787621628535	21741568	0.0
8.0	1787621630530	27279360	0.2
10.0	1787621632530	27279360	0.0
12.0	1787621634535	27279360	0.0
14.0	1787621636535	27279360	0.0
16.0	1787621638532	27279360	0.0
18.0	1787621640534	27279360	0.0
20.0	1787621642533	27279360	0.0
22.0	1787621644534	27279360	0.0
24.0	1787621646535	27279360	0.0
26.0	1787621648534	27279360	0.0
28.0	1787621650534	27279360	0.0
30.0	1787621652534	27279360	0.0
32.0	1787621654534	27279360	0.0
34.0	1787621656531	27279360	0.0
36.0	1787621658529	27279360	0.0
38.0	1787621660530	27279360	0.0
40.0	1787621662534	27279360	0.0
42.0	1787621664531	27279360	0.0
44.0	1787621666533	27279360	0.0
46.0	1787621668534	27279360	0.0
48.0	1787621670534	27279360	0.0
50.0	1787621672529	27279360	0.0
52.0	1787621674530	27279360	0.0
54.0	1787621676534	27279360	0.0
56.0	1787621678533	27279360	0.0
58.0	1787621680531	27279360	0.0
60.0	1787621682534	27279360	0.0
62.0	1787621684533	27279360	0.0
64.0	1787621686531	27279360	0.0
66.0	1787621688537	27279360	0.0
68.0	1787621690533	27279360	0.0
70.0	1787621692533	27279360	0.0
72.0	1787621694532	27279360	0.0
74.0	1787621696533	27279360	0.0
